questionId,text
1,Which factory is used to load SAX parser dynamically at runtime?
2,Which of the following statements regarding filters and transitions is FALSE?
3,Which event is trigger when user click right mouse’s button?
4,Which kind in JavaScript are all objects and Arrays passed to functions by?
5,What does the combination of multi-pipeline and single-pipeline for?
6,"""A schema written in W3C Schema Language defines a person's full name as a complex type composed of three child elements: first name, middle name, and last name.""""How should XML Schema author specify the middle name element as optional?"""
7,Which data type is used to contain the set of attributes of the element node in DOM?
8,What is difference between schema and DTD?
9,"""Given JavaScript Code Statement:""""What is name of the value?"""
10,Which component of JAXB does map a set of existing program elements to a derived schema?
11,Which of the following statements regarding filters and transitions is FALSE?
12,Which of the following tags is used to define rules for a leaf element with body text?
13,Which component of JAXB does map a set of existing program elements to a derived schema?
14,Which features are JAXB more effective than JAXP parsers?
15,"""Given JavaScript Code Statement:""""var face = Math.floor( a""""+ Math.random() * b );""""What is name of the b's value?"""
16,Which of the following packages does present in JAXP belong to SAX?
17,Which data type is used to contain the set of attributes of the element node in DOM?
18,"""A schema written in W3C Schema Language defines a person's full name as a complex type composed of three child elements: first name, middle name, and last name.""""How should XML Schema author specify the middle name element as optional?"""
19,"""The link element in the following XML fragment is the context node. Its target attribute value is stored in linkTarget variable.""""What XPath expression will find the page element whose id attribute value is described by the value of linkTarget variable?""""<site>""""<page id=\""000\""/>""""<page id=\""001\"">""""<page id=\""001_000\"">""""<link target=\""003_000\""/>""""</page>""""<page id=\""001_001\""/>""""</page>""""<page id=\""002\""/>""""<page id=\""003\"">""""<page id=\""003_000\""/>""""<page id=\""003_001\""/>""""</page>""""</site>"""
20,"""XML data is stored and retrieved within a relational database for a data-centric application by means of mapping XML schema elements to database tables. There are concerns that the queries and updates to this database are slow due to the number of joins required in the SQL.""""Which way is the best option for improving the storage and retrieval of this XML data?"""
21,"""Consider the XML fragment""""15. <aaa></aaa>""""16. <bbb></bbb>""""Choose the CORRECT answer when the SAX is used to parse above fragment"""
22,Which factory is used to load SAX parser dynamically at runtime?
23,Identify the attribute applied to a property to give it precedence over other properties.
24,Which following language is a very powerful and the mother of all markup languages?
25,What is difference between schema and DTD?
26,What will parseInt method do if the string value is passed to parseInt contains a floating-point numeric value?
27,Which kind in JavaScript are all objects and Arrays passed to functions by?
28,What does the combination of multi-pipeline and single-pipeline for?
29,"""A Web application performs a query against a database and uses the results to build Java objects. Next, the system sends the data to a warehouse system which is also Java-based. The warehouse then passes the data to a COBOL-based legacy system.""""At which point is it necessary to convert the data to XML?"""
30,Which event is trigger when user click right mouse’s button?
31,"""Given the following XML instance document fragment:""""<country name=\""Afghanistan\"" region=\""Asia\"" area=\""652000\"" population=\""25838797\""/>""""<country name=\""Albania\"" region=\""Europe\"" area=\""28748\"" population=\""3490435\""/>""""...""""Using DOM, which of the following will print out the names of all the countries?"""
32,Which of the following components must be declared in schema document?
33,Which data type does unmarshal method accept?
34,"""Given 02 tags <xml> and <_Name>""""Identify whether the following tags valid or invalid in sequence!"""
35,Which data type does the getElementsByTagName() method return?
36,Which of the following about iterator control structure is TRUE in JavaScript?
37,Which property is used to determine space between the border and its contents in CSS?
38,"""Given xml document""""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>""""<footballPlayer xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\""""""xmlns:car=\""\""""""xsi:schemaLocation=\""http://xml.netbeans.org/schema/footballPlayer player.xsd\"">""""<name>Kroos</name>""""<club>RealMarid</club>""""<nation>Germany</nation>""""</footballPlayer>""""Choose the CORRECT answer"""
39,"""Which scope of prefix abc does in following fragment of XML document?""""<root>""""…""""<abc:test xmlns:abc=\""abc.com\"">…</abc:test>""""…""""</root>"""
40,"What does statement ""A program in which all statements are executed once after the other in the order in which they are written exhibit"" mean?"
41,Which keyword is used in DTD declaration to describe the body text of XML that will be parsed?
42,Choose the command that is used to present the static content
43,Which of the following elements will directly express a logical subset of an existing type declared in an XML schema document?
